 010.00, 008.04, 009.14, 007.46, 008.0, 006.58
 008.00, 006.95, 008.14, 006.77, 008.0, 005.76
 013.00, 007.58, 008.74, 012.74, 008.0, 007.71
 009.00, 008.81, 008.77, 007.11, 008.0, 008.84
 011.00, 008.33, 009.26, 007.81, 008.0, 008.47
 014.00, 009.96, 008.10, 008.84, 008.0, 007.04
 006.00, 007.24, 006.13, 006.08, 008.0, 005.25
 004.00, 004.26, 003.10, 005.39, 019.0, 012.50
 012.00, 010.84, 009.13, 008.15, 008.0, 005.56
 007.00, 004.82, 007.26, 006.42, 008.0, 007.91
 005.00, 005.68, 004.74, 005.73, 008.0, 006.89
